aadcdn.msauth.neti
juandevaldes.imtlazarus.com
jummbus.bitbucket.io
kahoo.it
kahoot.com
kahoot.it
keep.google.com
kiddle.co
klexikon.zum.de
learnenglish.britishcouncil.org
learnenglishkids.britishcouncil.org
learnenglishteens.britishcouncil.org
learningapps.org
learningsynths.ableton.com
lehrerlenz.de
letsencrypt.org
litix.io
live.com
live.voxvote.com
liveworksheets.com
localytics.com
login.live.com
login.microsoftonline.com
login.windows.net
lync.com
lyricstraining.com
m.es.youtube.com
m.youtube.com
macmillan.com
macmillaneducation.es
macmillaneducationeverywhere.com
maedis1.educamos.com
mail.google.com
manage.editorx.com
mapasinteractivos.didactalia.net
materialesdelengua.org
matic.aulaplaneta.com
maxcdn.bootstrapcdn.com
mee2.macmillan.education
mentimeter.com
meraki.com
mesu.apple.com
microsoft.com
microsoft365.com
microsoftonline.com
midi.city
mindomo.com
mit.edu
moviesegmentstoassessgrammargoals.blogspot.com
msauth.net
msecnd.net
msft.net
msocdn.com
mto.edudevsm.com
musiclab.chromeexperiments.com
musictheory.net
myaccount.google.com
myroom.tekmaneducation.com
mywaypass.com
mzstatic.com
nearpod.com
newrelic.com
noteflight.com
o365weve.com
oaspapps.com
ocsp.pki.goog
ocsp.sectigo.com
ocsp.trust-provider.com
ocsp.usertrust.com
office.net
office365.com
ogs.google.com
omniroot.com
omtrdc.net
onedrive.com
onenote.com
onesignal.com
onmat.es
optimizely.com
oupe.es
outbraixenr.com
outlook.com
outlookmobile.com
oxfordreadingclub.com
oxo.ceoc.cx
padlet.com
padletcdn.com
pagead2.googlesyndication.com
passwords.google.com
pds-init.ess.apple.com
pe1steso.blogspot.com
pe2ndeso.blogspot.com
peardeck.com
pearson.com
pearson.es
perfect-english-grammar.com
perplexity.ai
photos.google.com
pilotandolasmatematicas.blogspot.com
pixabay.com
play.kahoot.it
plink.in
plus.l.google.com
pons.com
pons.de
popplet.com
populationpyramid.net
prezi.com
prezi.zendesk.com
prezicdn.net
prismas.santillana.es
progrentis.com
public-trust.com
pubnub.com
push.apple.com
pxhere.com
qrcode-monkey.com
quizizz.app.link
quizizz.com
quizlet.com
rapidssl.com
readtheory.com
readtheory.org
readtheoryapp.com
recursostic.educacion.es
restrictmoderate.youtube.com
reverso.net
rollbar.com
runwayml.com
s-microsoft.com
s.w.org
s.ytimg.com
s3-eu-west-1.amazonaws.com
s3.amazonaws.com
sampulator.com
samsung.com
samsungapps.com
samsungknox.com
samsungosp.com
santillana.es
santillanacloud.com
sc2.educamos.com
schoology.com
science-bits.com
screencast.com
scribd.com
sdk.iad-03.appboy.com
secondary.miltoneducation.com
sectigo.com
sentry.dev
sentry.io
service.helbling.com
service.mtcaptcha.com
service2.mtcaptcha.com
sfbassets.com
sfx.freeaudiolibrary.com
sharepoint.com
sharepointonline.com
shiporsheep.com
showbie.com
siteassets.parastorage.com
sites.google.com
sketchbook.com
skype.com
slidesgo.com
smconectados.com
smp-device-content.apple.com
smsavia.com
smsaviadigital.com
smsaviadigital.es
snap.licdn.com
social.123dapp.com
socrative.com
soi.agilixbuzz.com
soundbible.com
ssi.agilixbuzz.com
ssl.google-analytics.com
sso2.educamos.com
static.bandlab.com
static.zdassets.com
stmaeexneulog01.blob.core.windows.net
stripe.com
suggestqueries.google.com
symcb.com
symcd.com
tayasui.com
tekmaneducation.com
time.windows.com
time1.google.com
tinkercad.com
tinyurl.com
trust-provider.com
tse1.mm.bing.net
typedrummer.com
unpkg.com
updates-http.cdn-apple.com
updates-http.g.aaplimg.com
usertrust.com
uservoice.com
valdosta.edu
vc.hotjar.io
verisign.com
verisign.net
vicensvives.com
vicensvivesdigital.com
vidyard.com
vimeo.com
vimeocdn.com
virtualearth.net
visualstudio.com
vod-mest.globalmest.com
weather-data.apple.com
weatherwizkids.com
web.teaediciones.com
webbook.burlington.com
webrtcweb.com
websocket.org
wevideo.com
wikimedia.org
wikipedia.org
windows.com
windowsazure.com
wistia.com
wix-adi.wixanswers.com
wixapps.net
wixstatic.com
wordreference.com
wordwall.com
wordwall.net
wp.com
ws-classroom.apple.com
www.academica.school
www.aulaplaneta.com
www.bandlab.com
www.cervantesvirtual.com
www.classcraft.com
www.diccionariodedudas.com
www.echalk.co.uk
www.emaze.com
www.freeconvert.com
www.geogebra.org
www.google-analytics.com
www.google.com
www.google.es
www.googletagmanager.com
www.ilovepdf.com
www.learning-bits.com
www.msftncsi.com
www.notion.so
www.pbs.org
www.pixabay.com
www.powtoon.com
www.progrentis.com
www.rae.es
www.soinumapa.net
www.sshhtt.com
www.visme.co
www.wiris.com
www.wordreference.com
www.youtubeeducation.com
www.zoho.com
xincamdm.com
xtec.cat
yahooapis.com
yammer.com
yammerusercontent.com
yimg.com
youdj.online
youtube-nocookie.com
youtube-ui.l.google.com
youtube.com
youtube.es
youtubei.googleapis.com
yt3.ggpht.com
ytimg.com
ytimg.l.google.com
ytmp3.nu
zp.tekmanbooks.com
zuludesk.com
